# id;nom_client;salle_id;jour;mois;annee;h_debut;min_debut;h_fin;min_fin;nb_personnes;tarif_total;statut
1;Alice;1;10;1;2025;9;0;11;0;5;60.00;1
2;Bob;1;12;1;2025;14;0;16;30;8;75.00;1
3;Charlie;1;15;2;2025;8;30;10;0;4;45.00;1
4;Alice;1;20;2;2025;11;0;13;0;10;60.00;2
5;David;1;25;3;2025;9;0;12;0;6;90.00;1
6;Emma;1;28;3;2025;16;0;18;0;3;60.00;0
7;Frank;2;5;1;2025;9;0;12;0;12;136.50;1
8;Grace;2;18;1;2025;13;0;15;0;15;91.00;1
9;Heidi;2;22;2;2025;10;0;12;30;10;113.75;2
10;Ivan;2;1;3;2025;9;30;11;0;18;68.25;2
11;Judy;2;3;3;2025;14;0;17;0;20;136.50;1
12;Bob;2;30;3;2025;8;0;10;0;8;91.00;1
13;Kevin;3;8;1;2025;9;0;11;0;4;30.00;2
14;Laura;3;10;1;2025;11;30;13;0;5;22.50;1
15;Mallory;3;12;2;2025;15;0;17;30;5;37.50;1
16;Niaj;3;18;2;2025;9;0;10;0;3;15.00;2
17;Olivia;3;22;3;2025;10;0;12;0;4;30.00;1
18;Peggy;3;28;3;2025;8;0;9;30;5;22.50;1
19;Quentin;1;2;4;2025;9;0;11;0;7;60.00;1
20;Rachel;2;4;4;2025;10;0;13;0;18;136.50;1
21;Steve;3;6;4;2025;14;0;16;0;5;30.00;1
22;Trent;1;8;5;2025;9;0;10;30;6;45.00;1
23;Uma;2;10;5;2025;11;0;13;0;10;91.00;1
24;Victor;3;12;5;2025;15;0;18;0;5;45.00;2
